,BookName,BookAuthor,BookPrice,BookSold,BookLink
0,Sách Tài Chính Cá Nhân Cho Người Việt Nam - Tặng Khóa học Online về Tài chính,LÂM MINH CHÁNH,200.000, 5k+,https://tka.tiki.vn/pixel/pixel?data=ZR6I9WlEE1k6os0CIEeyfTm49uAbK14CsArIR4KCZwOU76uOE1ZXGWElGcMmIIXiFnCFRlU2wRVSkpsAVXfMI2Z6Bckvs54BtiEAb-DVl4dbJPAnalc6bC9xSLBsYZtEBTacD1a9NajlrSPdYfQliIOtzEX4iXwQVIZjN6vDsCwTm12MHbCjBC_E_off1ZnDYO7kqfvPwN4LRLA3K4FmZN-Ob6O0ug6bOhzQybwnu0gIjxSXgwUFBzk82X_loAvOXekiM1EYru_VApF6txKrpPOsDKYuweb-RXM2pm1Jy7d92oIpSfBuMN3YXZ4QQf70id1qTYbnv3u8FQ3jkkD61GkJ5rOQRXqWpxOr77HevWy34-KFLvRSInse50Z3Hx2lrtBkx766RSY1Pb25GQV9ZCOHjJjgcl9f_Y786cmbTEuahqOtey0euSdmlTQAGgfG-lDd9PHRBhGmeTaXeV4UToW4OnA5nsAi0Q5EiYrnaYU6ojuer_cM09HLCzEtqSdOeSG903NVvHDUnKBuYshpJD-eAWULs5lukkkDIeSBQFhVFlDQ1c7TfLBiro-EPnkktVZLPnlb0wLFJwSEgMLt3dLXc7p1Z0k6-PyHOUh7sB8-fOmMOUjltmu-lV62YJPUGsnSNFEUorEJheRfO5CVfHI_S3dcTF_QXrlPKDy8ma6mIxca_9a5dWXwzbe1EOcUAwSLqpBtPjaeteOKROTXSd9Y1Sye6g0NY3Ad73pRQkflUeEeGxaQG0B5cOMCrr5u4OId0Mv52eY7cuU5IyLAWI9sp1UwQMTiQSz-nfcsWvDDHENTlBLaqB9RErq1p1u3_jnta-Xqt7iUxBGYPtt1yI7CP29hjJLW9Ix8X45pPw5oYfcWa1A-yfAc657mhNek0oOVWGJS3SwCad8iux-vrwNnopumnTZ78bKTvyUE07oBFtJNl077EPZqs42jYCzS7n4x_1JEbuEDZi56jUFS095snKRu517tkqqlqArNVnO7n5SsGty7fO-oOeYkwddMzjpEgVWFKfjQXU2gL5G56s7Xvk_Mm5vuJtGNLOBb_buQW952mcwvgfJ785rq5q1DRajMfYaCyrjXxcFZYUQzUrwgRhItLkLrAvF0W-OCo-_0khTem7x1srUU3xvE5cZTwMdH68gWktnucqR8-yCHTX8C3ONzEPqY3LEAHLcnBCiTzEZU6asFAlxXMg0Gcw2E6wxzvZpJxMKZv58gwanpM6c3hHVSjgrlBnjtIqNBLotBeas0sPpP2beZ92Y1lDC-2tkSBib31Yt4PIpvRRYfhiTSlaYZW6w8ByHbCGYdOK0hyefLX6rdcqT4slnk1imf13WvykjMFnXb9OCzMHMfYJjGcrP6XXw4AEtZxRgS-LM7YU3sYTKwXJd1u6FUR8O6GkW9pNiMeQAHK6rl1ZYYufUaxcGooG95GPrwS6gXD8VazrqoPjWIWiwsr5MfnBwQdqbNMCEsvIB5qAtRyNgIUXh9abSClb_F4yrvPp_zQBrCfmJrob8GQQ_fJmSPk8k3hso87aX9pz18qtPDkInzqsPzwQ&reqid=XeF2rfodq7Mgsovr&type=CLICK&pos=1
1,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),"MAI LAN HƯƠNG, HÀ THANH UYÊN",158.000, 5k+,https://tka.tiki.vn/pixel/pixel?data=1HrHodAjTto3Rsl4xgI1jFKmu_0MWDimjLr2UJ2P9Qyxkjlxjk2nfAyAYYiab6K0pvbOndhQoF3Eoqz-EwvuLkh15Xdg0FJeH7dXC1xhHvJguldNVOAzuHWUdSMbEkwt4X5LWOel3BXd8HnKF3hCteAxLpEFhtdHck9H3-8TWsUraufML72o8-urbDPzIWGsCGMOaiH9wc8waHfXhq8j5-ZoMv1YeI5qDa_CgGcO09bCwrCetu66ZEScG9F0y87FFonzGXbVCeloTFO_bNXmsfqQBvSuHKSKe4b8wDfNt0qnW4NHXlJd7EbLlUbecTwWNRe1HXExyVztqNJIKwxteQzy3ZyP4cCT_hx344GkwaWNPBq6Nh0c742r3IAkim4-vENEVNTio2qiXgKy7Y_Jl1xj0ruhW8DdXrbqNRJ9z6lytR47dwS7tEoEDHQ4EmTy0RkRUWr8ChszG8uN6NxqXQ_7gLf4Otu1uislm7Lgq5P78sDSvs0h_fHZayv94M07qQdnZ_hY0JjooXScYIoo8Bng9RYY2xwHEjo7vCt_RkGMerSZrCmwjgPtgjks11ILUJaCx42MxNzutymvM4hZLu8FhgdRY1gadT4wWhK2ShWLABbtsxngeS3u6PTvsskkXcrNwT4g1CsJbBMH_SN72VyedC6lGJHkbW83pY65qgGolXQfRx7hCtR4aEXpiJ0Yhaq8Eas-aRHQEjzEYFotBv3WkZOt5LKyhITrbK2reV89DHVw8iDuq1KV7L-Nz2AWy115zBfNoSZeAb-Njypw6YKUK6mvFdr3Fx5Ncb1tQ7GTk5UuqKXEg--DzRahMqNCrT4iycFr4MiN9dPp9ptHIgBWW12rJgPnTfUNoQxF8fJAsbCIg7ZKM3vRrs_Lrbkdj_Me3cuA9qp20oZ2FoNnHiK6rF8f-HIfRIfLtf2IufbLV29F2afETTATWHZYwOFwPIEIV_0Ry6feokBDfVnkJu8bnZ1VOLCe1M5NQcpVyZTCCL01Q7NvwxYDGxpG-GsE6R9-UxMhID2fnka12FoRrIV8k2NRrHptXegIGatZqSTGnvulcesmr2SrU2OE1wL0nEj5KKvvS8CeN419ze9JKxWrK_Qna-gBlzavXPnzlZC9SuUdS7hU5_3Th15nlwdOpMbZMmq-6NKDgX7C25yHvwSuQ2i8PqxodZECgawaFUMevwG0WHiLdE-lN9BjZgnYLVYwwd0jvrXxCkGOp7Gc6_hvZjvgZ7kyr75zufF9TwvjZAwHo9mCpGbT8VcJBPVrMy3MwT_DgrPoLw_qCp8rTcZ8WWiSiD0q_bXDayea_rhPzw8WRG2-D5T8lSJVkfo43ovYobrx6nbRQP7QHihXmBS0D4GLhIKCk6hFDh6gCBpJWB5uHuFc5L6aObPY4u-utE1GNMJ-48vh3rzgjFT82-4TCsScf0YfL_SARB7j1N0CyFx5MShyQxX2siYIKPphxHaX8N3XjJGgBji17-oR9PJifaTbHNha3c2mqXWOja0b0h_QY1unRQ_SRDDUTQhqGQK6ZmffrQn2etDyDU1AvVIN0p1EWxekFhWsgNPCsvDUXOlWnOKPnQzZ3Ax8-LhIOC-4Y-ScE-p1oZNJ5Nfvye1jhyrWK1r2Vnc9V3WA4gw77Z7q-d6d5_irhZUs5-51fKWV2ZQP3V2qmHZ4uH8qRbBpWwLzJyk05UzzuAE1SpOg&reqid=XeF2rfodq7Mgsovr&type=CLICK&pos=2
2,Những Tù Nhân Của Địa Lý,TIM MARSHALL,162.000, 5k+,https://tka.tiki.vn/pixel/pixel?data=T_XN-gfrgxo0o-W9-jfyvTSs69g58YEFfGDyAVv55JuNaUiC41y4S04MetGv2T3NZYgLLaYU_uCDHLugyiZTjToMq_dFQZOEvybKfRWZb7bBk2VLc8i7lXDIS1FW9mXikqAPXT4AGnDySflx3hnX76SmdPOlAWJhqsIKnodmB8k4oRoswdBgG3SG6xwRpzvW3twM8FPmIUFPs6C9WRMtCwqaBkdfJXR5zvG8c80ORQV6MunOCA0hut62bpo6n-TAcOi9mHU4uS-oeYReOgg8p5FCp9WRvqdxodDN2SY5WwQzHZGGG3MHLUHyVWMOTesX4V3SUZ-RnEdW9G7ZcuHvli0NadQnr-ZEbJPy-ZQnY3RcaYBnJ1WaQUvjIeVsasrFQRAH3G79AbZzH15j7luayXCRZ_H71hyRFGSRVhrZfy-W6VuZfwR3OaxXJ3brAgQ4GHs1-OserDBd_A0lr-pHL14XB3jT8k_OYe2f33new7-vJhnE7aKmsI_2XJKTSSQbtE_BjOP6j35Se871BqQwpK3WRyKiMzWIlITL-MuTK7RMwe-pInh4Op8sRodzvOc5OvFzN3Sc4Xz6dLBxZSeaGN8kGJDL0-sTdkfk4cwyjyBg_X2oRwb0BoAeKX7SxqzbAz1cumBWlXDNE9GIEyWU7wOqPd9dIrxZ21fRFWr-qTAJYHEthQFPNvkTm5L0RaOhnhF_ZgH1eWjNLkSGQD4XjChODiCk3xm-SGJ3DD5L81LSuhzBbUcL2uaNJlM2WNycmoqllp-L72toK-N9larPSUJJBdyYpFU5a-FemnA5aSohjKtbxHvgyx-cCpQ28cBv67v13DuVNcUMknftXdM1h1II6-HAhWJ5YKbqr-2HsU_URlLTwNlLmMQAX15CEmbcLpx5hUd6h67ma7iMnFsGfAOv6kN6DVd8fgbfwakdTHO8B6IXQd_d1UcH1VJgA8hwsc3fsGPnLnpbiSzq-5bGZSN4ZzrkMYcKvB_W41tHdaOlUPjlpiAbR5QCWXQnattY-YrK_0ogTMEd5f0jLffXgEa8evEC-7vR37XABiv2YSX75Hv8vEabXyRqxmxjFKSDskMUU8f4LxVtE6qD4ijTv3oM5OlK-BTCw_rYL_y1IvUBAnBXT6yrAwpN4HzbwbFybL6t8AZ-G0Rx-4gcnKV_CjqND0yrJtfWIzb_PUtVfqik7nLTRTVnVEccqK5PU8AYdS3pg03HcRV3sOgSu46F3qBioT17YdY57hGrY-Lyy44njlgIR8BiWy2I73upqBfqi54--jPUVsNAdbmFaB1DwpPSKv0W-c2dqEgzOrxTNRkCjn9AXce0NKTtLK8a5pa07OrpmD-KutxlHXyc0pvOUJaN7lWcA1SaMNr6ujXUWL4PtotcJguA6KaiUXdjwCl2ez8TkTbgBBNR-i6oM-_WNPd2F8SLehdkS9IUkrrItdAQtx2xQyd548J1E9awN3IlE-y1TOnO7ZLe1yPimraLiM_W&reqid=XeF2rfodq7Mgsovr&type=CLICK&pos=3
3,BỘ 2 CUỐN SÁCH CEO XUẤT CHÚNG VÀ CUỘC CHIẾN CHIÊU MỘ NHÂN TÀI,,650.000, 28,https://tka.tiki.vn/pixel/pixel?data=jAi0-tLl6jiUJac80mlW-QXo2n1jKN-NnxdNeTgjHr2yzdZxyp4W5mYNjv4-ycrfHYPD4libPIDXLZN55voifKEEj7-o1F5rgVt7GIOugaqHVerwgCNPVd642PgacanXTtViCVaib9zy-Q2Tit9Kbq13_CjK6q9NIQcLZP3p7q1SRRpKukHJUyyV5XxBiLA_ymiA6GvdB7eL2QSvc-6_z-yHZZJpHCXGQqnJ78lXRJvgWO3GO-xeL14AjML5wZ2_8HxPH4dHgqgmuCFFzFTdIQDl6kAPxLX91HiCSoeUjkoHASI676yF6RZnBUFYdkVOcaHNfufTEpz4tXtxnb9E6pIJpH9EQm1koQ7Bhgw1aij2yUV-jK3BMLa9PjYjHtyh_sEt1JXBCD9mSQ-OhxPUv88LBLopOvZdc-xiGaIV0MG-ub5ndPwAA_ZUsGiM_lYesz4PckBDt5WfBFeuOf5SinsKznzk5Dhi9HPHFuOwbK9-OX4_78VUjTTEPnz18df2dOLXMeJI-ybNI-g7gttHDkpCIRpXO38jSuaw03jrOa5SsCIKkAk-I4HZaWCSPly9DuhDCHOfUEqVTLEQ4HFVT-NrbJgeTnr-Zk3jPUyCY0iB_xqRHSqvJ1xz8iH6nmI6SFid-liS5jPhptY1lO-bY0co2re2oy1WzCUKsxI-xFb_I64_0q7wcPpoWfwx58ktA8mmjUI4f3qIRmPdDAPNxoXHuSbSo_9SjVPxbt94VTQYIGKT5oOHmEJ1ll91LkZhK7CkAgpxNQzOT9BYHj49tQtqK1LVMA-dcudx2Up3M32cEMT9fkAmlWE0UTka4a1VqnMYBl3qvLa1hPqfMsMR2cRgh8OiTd8XDaFLBoU4JbBDck_2yfrDg94eTrhPKyCUKYPk7zysBhu6aYwNb6inZdfhpVZhatkgfy9IfrD3odD204dq-NeB_CderHPW3bgs_QC3Yidpzxv6RpfdRpfxFp7Bj4FlJHo7ykLBNzJ5f1Kgda4blLrPi2pBArzRMkudd-06g5aex38FS-hGRE_8jV3-L5JEjJosEU8x1MMhP88OPXw54BE21o6HpLDFD9NjGnXpfdXydlokeDEJXO6HEF_rADhGTP7-6GDzI-SQa3ZEqjFgYWIQsJLXtFqVKluZZCVo2sypkIFwSEvOLDBlnMymfvvgQ2iDemmJIgi-duyUli329XfcV_A2OGgyDg33F0eCTJUIEaMvtlL-HbAYkm9JfLicI0zU5kOWlXbz60-50EEz1KKUwR-Xxq95fyREgY08XteHkJaVZv18_u98dA1Hc3xcHGBnKS0aCT881ZVS02mX9KEoMeBouB4cur2OgWi4tS5W6X268BQSbre7ooMGn-2ZyA3zwJZitA1SUELXrl3r8sXA_l90UmQ2WjK1JekQH_jiatnHkKjDIuFSKC9ad4E8xdBVRLSuFRpXMZim85-A5ssrQZT4WeqOiTudLByC1vY3y_J9cRofQI-BJKy-D0g9SA8xcw6P8sTjh8PHFYBXNUQffvT-jZ1YgFSXreUzilE8_Gtkyjg2k0s&reqid=XeF2rfodq7Mgsovr&type=CLICK&pos=4
4,Định luật Murphy – Mọi bí mật tâm lý thao túng cuộc đời bạn,TỪ THÍNH PHONG,60.000, 5k+,https://tka.tiki.vn/pixel/pixel?data=hEjMfh5caE8bOdGEI1lAp7OFXJU3qijb5ttVU7XGDDuvEf0ADpCmlMVyS7FXCut8brVw5FwwtkSawdLiIiqgHJImfc3Q3o-ob0V1EH91mKbYx_L6GvCx3rTAJOhiKEOLAty05Xa1bTzpOIW6iZUMSIwwgIAYaGCzzM9cyPGK0n4Zf0E0TRlFz2Y1ekE_Fv-m3WkVCCPCC0I5hEqAwKoCCasV2YKF1EYVyS_42OM9F6Yy_cRAcID-ZOA8hES8OsQpuFZtQdYz70mJfiAQILx9slmgDjIuFH2YZiW_Fpv69vPM8kZJ4FJhSwthwspZEWPBXQvPfVEvG5wFcaU7KXcYZ16rt8MQQyuOQcn6cyjDTOjEc1qhaB2p78bEuUlnZFhsPCuZDbmY5c0lcq7sbdYeSZ-JGD89nnOYpru3XGweG0LlcBKXh5ysM3t55_qtTCAQ9NzIlGwW8v6k_-4Znu9CehzHa2aUEKyRzBxBDZeJvn-hGDT0O1vEvg5BVXQHLRlcAnODsdxLLCugkYleQeT-qyf4g6xoru_jzw8sCeoUdpM8C73-_39kMX4tt0gBNnacmOq3O0B4g2AC5xxdcukruvSTKbLgcygjCQrTeQDy7_7-W5zwznyabpxvdZMRmR0_cVjvoZu2zYRQM-l4rI1Nj0ReB4sk48FA3E_3p-o-VQ8mW3WEtZLIvmRnT157JMf1hOMzKU5VbGRxYCYYjSrvXk-vxbxJQeZTtnIXU7wGpW2BQ7CuDHj6oh4lYkDNIq33--T4zS_rVikIcj7ntcQ3hN5OZxB1IuBa722Tj8ZjDFa1uTSAyGTl_gFqSy64U9GZrxagJdDY8dcwnbtVjPI6C72FgkLGBFPakKMf976_ye6amdnKA3_BQEF78OrbGy07aja9Fz6_PnoO4CJKYhYDU6d3OV_inmHKd6YoOt3_qVOHJ9s3KecW2nrL3XEdObZdQnjnlqLK8GqNs9p_MyAz1fqN9X-BK5jacYP5psXSm2aXO6aDohikFkxDAHoCBoS4IRx6yvpDJIkG-_lDiGPChlyu72d3psaS4mRd9rHlhiRHvjgKXYO4J4M0C3nMYUgTu-N59kXo13DtUyDuieeMnYDKu3sb2l8GDeElIqgC6i7VYiJdOIoMDNFbLHPKCRGQTkvnjQPA0FDdX_RfmfTh70f9PyIMXlHBxYaFD46t1B7kXIoGKjhOReyrVkNh-retSj7nPIwTr98hjtaIwkiJru73dHbp7d_3o5hGHXBf4LCC5eWUI3fPIhvVKXx51JR-qi6mYZV7-3sV-EBjP256fgxzR5BaYE8o9WuB7CCBF-5W-71i3hvmX88qG6Zht4BQWHJns64KK6GfjE601yQD4c9uW99-Tnn5Mo7P2Q9Kqe-uyjs7HKardD4X8zZ-_O3NDkkn40Q-C00_8fEtKu5EDRL6RI3nUQrwYAlLOEsgSJwgBvDl7P25UYCROAI6YVxZ0mYoT0m1YR6GHVBbA0xYTxmU8rV_4N2blR-JISFucUcCDbFrIH6kB7cBZ6O2&reqid=XeF2rfodq7Mgsovr&type=CLICK&pos=5
5,Cây Cam Ngọt Của Tôi,JOSÉ MAURO DE VASCONCELOS,64.800, 5k+,https://tiki.vn/cay-cam-ngot-cua-toi-p74021317.html?spid=74021318
6,Vị Thần Của Những Quyết Định,UNIVERSE,51.400, 5k+,https://tiki.vn/vi-than-cua-nhung-quyet-dinh-p188940817.html?spid=188940819
7,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,LÊ BẢO NGỌC,92.100, 5k+,https://tiki.vn/khong-phai-soi-nhung-cung-dung-la-cuu-tang-kem-bookmark-2-mat-p189643105.html?spid=189643110
8,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",TỐNG MẶC,64.900, 5k+,https://tiki.vn/nong-gian-la-ban-nang-tinh-lang-la-ban-linh-p26114399.html?spid=26114400
9,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",CAO MINH,107.000, 5k+,https://tiki.vn/thien-tai-ben-trai-ke-dien-ben-phai-tai-ban-p109017985.html?spid=109017987
