CustomerName,CustomerNational,CustomerType,RoomType,Duration,Positive_Review,Negative_Review,CustomerPoint,Review_Title,HotelName
Linh,Việt Nam,Cặp đôi,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,2 đêm,"Khách sạn mới, phòng view rất đẹp, rất sạch sẽ, nhân viên thân thiện. Bạn Nathan Truong ở bàn tiếp tân rất tận tâm.
New hotel, greatly located, clean spacious room with great views of both the sea and the city, friendly staff. Nathan Truong at the Reception desk was always smiling and helpful. Great value for money!",,10,Great new place in Da Nang!,Awaken Da Nang Hotel
Thảo,Việt Nam,Nhóm,Phòng Giường Đôi có Ban công và Nhìn ra Biển,1 đêm,Tuyệt vời,,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Toan,Việt Nam,Cặp đôi,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,4 đêm,"Phục vụ nhiệt tình,chỗ ở sạch sẽ",,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Xuân,Việt Nam,Cặp đôi,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,1 đêm,"Khách sạn mới
Sạch sẽ",Lễ Tân như ngáo Đá ấy,"1,0",Quá tệ ổn ào,Awaken Da Nang Hotel
Debbie,Úc,Cặp đôi,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,4 đêm,"The breakfast was very good & lots to choose from. 
Although sometimes food had run out when we arrived at 9am. 
Just a suggestion maybe to stock some muesli if possible","I didn’t like where the toilet roll holder was in the bathroom. You had to twist around to reach it. 
Also our television reception sometimes was affected & the picture was distorted & sound on & off.","9,0",I would recommend Awaken Hotel Danang as it was very new & modern.,Awaken Da Nang Hotel
Jasmeen,Hồng Kông,Nhóm,Phòng Gia Đình Nhìn Ra Biển,5 đêm,"The staff were incredibly friendly, attentive, and went above and beyond to ensure we had everything we needed. They were also very accommodating, allowing us to check in early. The rooms were spacious and clean, featuring a modern design and breathtaking ocean views. Overall, we had a really pleasant stay.",,10,"Our stay was fantastic, with friendly staff, comfortable rooms, and stunning views.",Awaken Da Nang Hotel
Lisa-maria,Đức,Phòng gia đình,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,2 đêm,The hotel is really nice and very new. Hotel staff is also quite committed. The location is directly at the beach and close to the peninsula. We got a motorbike which we easily could park in the garage of the hotel.,"Just small improvements: more hooks in the bathrooms are really, really necessary, sometimes the staff at the breakfast buffet was a little too overzealous when cleaning the plates and on the other side the breakfast buffet was not filled up reguarly when something was empty. Also sometimes the staff couldn‘t really understand english properly. What was unfortune but probably issue to the off-season was that the rooftop was closed. We could go up but there was neither a restaurant nor a bar.",10,Little improvements but still a recommendable hotel!,Awaken Da Nang Hotel
Perry,Việt Nam,Phòng gia đình,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,2 đêm,Friendly staff and nice restaurant,Booking price and stated price discrepancy and an extended wait for the room.,"8,0",Nice staff and pretty view.,Awaken Da Nang Hotel
Raghbir,Hồng Kông,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,2 đêm,"Great location very friendly staff, clean room with comfort bed. excellent breakfast buffet. Very supportive Staff Thanks Ivyyy, Tho,and Chloe for your help to make our holiday a memorable holidays",Everything is perfect. Nothing to complain.,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Dawn,Úc,Cặp đôi,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,1 đêm,"Amazing customer service, Ivy at the reception was so lovely. We went for our honeymoon and got a free room upgrade with sea view and a beautifully decorated room, thank you. The facilities were also very modern and clean. Bed was super comfortable and food at breakfast was delicious. Pool has a superb view over the beach too. We’ll be back! Such great value.",,10,Highly recommend. We’ll be back - such great value,Awaken Da Nang Hotel
Huu,Úc,Nhóm,Phòng Gia Đình Nhìn Ra Biển,1 đêm,New hotel rooms. Sparkling clean & great staff,Swimming pool was outdoors but undercover a few floors up. Great view but the water was too cold to swim. Should be a heated pool.,10,Beautiful clean hotel. Will definitely stay again,Awaken Da Nang Hotel
Scot,Úc,Cặp đôi,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,3 đêm,"Location was great, staff very friendly.","Pool area was nice, shaded and water was refreshing.","9,0",Very good will return,Awaken Da Nang Hotel
Nguyen,Việt Nam,Phòng gia đình,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,2 đêm,Beautiful view,Uncovered parking lot,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Ian,Úc,Khách lẻ,Phòng Giường Đôi có Ban công và Nhìn ra Biển,2 đêm,"Excellent room and ensuite, spacious and with a balcony providing a view to the beach","No Airconditioning in the passageway on my floor, nor were the lights turned on.","8,0",New hotel providing comfortable accommodation with excellent breakfast,Awaken Da Nang Hotel
Dimitri_777,Nga,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,3 đêm,"Breakfast was very good. I lived on 17 floor with excellent view to the beach. Around the hotel (back of it) in 5 min walking distance lots of local restaurants, even bike rent shops 50 m from it.","the sea water was a bit blurry, but if you don't dive much its not a problem.
Unfortunately, I had to discover myself that it's better to go beyond the hotel to the parallel street (not the main street left or right) where lots of nice local restaurants. I wish I was told that the very first day by the hotel staff.","8,0",Rất tốt,Awaken Da Nang Hotel
Sophia,Úc,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,4 đêm,"Breakfast was great, covered all nationalities",The pool could be heated as it is a great location for the pool but the water was very cold.,10,We enjoyed it so much that we decided to extend our stay.,Awaken Da Nang Hotel
Mark,Úc,Cặp đôi,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,2 đêm,"Fabulous new 5 star hotel opposite the beach. Excellent, attentive happy staff. In house dining was excellent would definitely stay here again",Nothing at all,10,Awesome Hotel,Awaken Da Nang Hotel
Roller,Nga,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,4 đêm,"excellent hotel! good location, sea within walking distance, restaurants and cafes next to the hotel! The rooms are clean and have a great view of the local beach and sea!
I WANT TO SAY A HUGE THANK YOU TO THE GUY WORKING AT THE HOTEL AT THE RECEPTION RESERVATION! His name is Nathan^_^ Thank you very much, he always helped us choose a good restaurant, call a taxi, and also helped us in organizing our vacation and choosing the best places to visit.
See you later Nathan! Thanks a lot^_^",,10,Xuất sắc,Awaken Da Nang Hotel
Mike,Nam Phi,Cặp đôi,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,5 đêm,The hotel is spotlessly clean and comfortable. The staff are very helpful and friendly. Will stay again. Highly recommend.,Shame the pool is covered not so inviting.,"9,0",Great stay,Awaken Da Nang Hotel
Ana,Úc,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,3 đêm,"Everything. 
Our room was on the 23rd floor and we had the best ocean view.
The hotel is very new, so all the facilities were nice and new and that includes the linen.
Best coconut coffee 😆",Nothing to declare 😆,10,Amazing!!! Would definitely stay again.,Awaken Da Nang Hotel
Ewa,Ba Lan,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,5 đêm,Great location. Helpful staff speaking English fluently. Modern design.,,"9,0",Great offer,Awaken Da Nang Hotel
Ian,Vương Quốc Anh,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,1 đêm,"Quite simply, a fantastic experience at what must be one of the best hotels in Danang. The hotel feels very new, and the quality of everything is there to be seen...from furnishings and fixtures to the quality of the bathroom & shower areas. Our room was outstanding, could not fault anything about it, and the view is unbeatable, looking straight out over the ocean. A small thing, but another big tick, even the in-room fridge was set nice and cold...sometimes the small fridges are not cold enough, with no way to amend the setting, but these were bang on.
As with all our Vietnam hotel stays (this was our 5th in 2 weeks) the staff go out of their way to make you feel special and welcomed to the hotel. (Special mention to young Ferb on Reception) The breakfast offering was top notch, well worth a visit even if not staying at the hotel. The pool area is also very nice, with an infinity view out to sea and plenty areas for the kids to play, as well as having an in-pool bar for the grown ups. Genuinely, full of praise for the Awaken, we had only booked 1 night as part of our trip home, but I wish we'd been able to extend it longer.","Could not fault a thing, it was just a shame the hotel was not busier, as it certainly deserves to be. Once high season kicks in, I'm sure it'll be full regularly.",10,"Fantastic hotel, 5 star quality, highly recommended.",Awaken Da Nang Hotel
Paul,Úc,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,2 đêm,Everything was excellent,Nothing,10,Awesome,Awaken Da Nang Hotel
Steven,Vương Quốc Anh,Phòng gia đình,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,1 đêm,"The hotel is brand new with highest quality fixtures and design. 

All the staff were great and keen to help.

Audio visual system is good even has Netflix. An easy way to change the language would help.",The pool is open air but inside the building i.e. no sun hits it so won't be a winner if you like pool side sun bathing. The hotel should have more loungers in the terrace areas that surround the pool.,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Emilian,Vương Quốc Anh,Khách lẻ,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,3 đêm,"Everything! The place is brand new and spotless! Very decent size and a great bathroom. Can't pick anything to criticise on. Very rarely that the place loves yp to the photos. Also, a special mention to Ferb Nguyen who was so friendly and attentive ensuring I all my needs were met but the same goes for all the staff at Awaken, I've never been to a hotel with such friendly staff!!",N/a,10,Xuất sắc,Awaken Da Nang Hotel
Hamed,Đan Mạch,Phòng gia đình,Suite Có Giường Cỡ King Nhìn Ra Biển,3 đêm,Amazing view. Nice staff very clean and new hotel.,N/A,10,Highly recommended,Awaken Da Nang Hotel
Imogen,Úc,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,3 đêm,"Great staff, great food. A luxury experience for sure",,10,Great place if you’re looking for a luxury experience. Great restaurant and pool. Lovely staff.,Awaken Da Nang Hotel
